Year	GONE	ERROR	MISSING	MOVED	OK	DISSIM	SIMILAR	SAME	TOTAL
2013-2	337	17	247	127	1010	322	421	337	1738
2013-3	10	0	6	4	68	20	39	17	88
2013-4	16	0	14	19	125	59	65	10	174
2014-1	65	0	47	85	464	174	292	58	661
2014-2	124	4	65	70	580	159	354	115	843
2014-3	51	2	29	14	384	64	185	150	480
2014-4	1	0	1	0	14	0	8	8	16
