Year	GONE	ERROR	MISSING	MOVED	OK	DISSIM	SIMILAR	SAME	TOTAL
2013-2	167	7	113	54	503	165	224	145	844
2013-3	5	0	3	1	40	5	30	7	49
2013-4	13	0	9	14	71	33	39	12	107
2014-1	39	0	26	35	268	96	156	39	368
2014-2	55	4	19	32	292	86	174	52	402
2014-3	22	1	13	9	179	30	91	69	224
2014-4	0	0	1	0	5	1	2	1	6
