2004	4	12	OK	200	OK	http://www.sociology.org.uk/inset3b.htm
2004	4	12	GONE	903	UNRESOLVABLE VIA-REDIRECT+	http://www.odpm.gov.uk/stellent/groups/odpm_urbanpolicy/documents/source/odpm_urbpol_source_608045.doc
2004	4	11	GONE	903	UNRESOLVABLE	http://www.royal-navy.mod.uk/static/pages/214777f4.html
2004	4	11	MISSING	404	File Not Found	http://www.army.mod.uk/linked_files/ag/soldierwelfare/supportagencies/aws/pdf/Deepcut%20section%202%20%202003.pdf
2004	4	11	MISSING	404	Not Found	http://www.fco.gov.uk/servlet/Frontf4a4.html
2004	4	11	MISSING	404	Not Found	http://morfablog.com/archifau/2004/08/18/le_souffle.html
2004	4	12	MISSING	404	File Not Found	http://www.army.mod.uk/linked_files/ag/servingsoldier/career/pdr/pdf/625%20Officers%20Self%20Assessment%20.pdf
2004	4	12	MISSING	404	Not Found	http://www.fco.gov.uk/servlet/Front8273.html
2004	4	11	GONE	903	NETWORK-UNREACHABLE	http://www.pm.gov.uk/output/Page3864.html
2004	4	11	GONE	903	UNRESOLVABLE	http://www.royal-navy.mod.uk/static/pages/710827af.html
2004	4	11	MISSING	404	File Not Found	http://www.army.mod.uk/3rha/join_us.htm
2004	4	11	MISSING	404	Not Found	http://www.fco.gov.uk/Files/kfile/670a21f8ular-2fbno-2daform,1.pdf
2004	4	12	GONE	903	UNRESOLVABLE	http://www.royal-navy.mod.uk/static/pages/475749be.html
2004	4	11	GONE	903	UNRESOLVABLE	http://www.royal-navy.mod.uk/static/pages/72206b49.html
2004	4	11	MISSING	404	Not Found	http://www.fco.gov.uk/servlet/Front1eb2.html
2004	4	11	GONE	903	UNRESOLVABLE	http://www.royal-navy.mod.uk/static/pages/6189f412.html
2004	4	10	GONE	903	NETWORK-UNREACHABLE	http://www.pm.gov.uk/output/Page5865.html
2004	4	11	MISSING	404	Not Found	http://www.fco.gov.uk/servlet/Front1dab.html
2004	4	11	GONE	903	UNRESOLVABLE VIA-REDIRECT+	http://www.odpm.gov.uk/stellent/groups/odpm_about/documents/pdf/odpm_about_pdf_031212.pdf
2004	4	11	MISSING	404	File Not Found	http://www.army.mod.uk/royalsignals/careers/videos/airassault56.htm
2004	4	12	MISSING	404	Not Found	http://www.conservatives.com/redir3231.html
